class,f1_score,precision,recall,support
0,0.74,0.78,0.71,1318.0
1,0.53,0.48,0.6,956.0
2,0.51,0.45,0.57,744.0
3,0.55,0.57,0.54,342.0
4,0.08,0.79,0.04,263.0
5,0.14,1.0,0.07,54.0
