class,f1_score,precision,recall,support
0,0.71,0.68,0.76,1359.0
1,0.52,0.39,0.81,902.0
2,0.26,0.77,0.16,752.0
3,0.29,0.83,0.18,359.0
4,0.18,0.96,0.1,244.0
5,0.25,0.9,0.15,61.0
