class,f1_score,precision,recall,support
0,0.58,0.54,0.62,1324.0
1,0.38,0.38,0.38,928.0
2,0.36,0.43,0.31,761.0
3,0.33,0.44,0.26,341.0
4,0.21,0.18,0.26,256.0
5,0.02,0.02,0.03,67.0
