class,f1_score,precision,recall,support
0,0.69,0.57,0.88,1352.0
1,0.52,0.55,0.5,931.0
2,0.46,0.52,0.42,737.0
3,0.39,0.68,0.28,324.0
4,0.06,1.0,0.03,277.0
5,0.0,0.0,0.0,56.0
