class,f1_score,precision,recall,support
0,0.6,0.57,0.63,1348.0
1,0.37,0.38,0.35,907.0
2,0.4,0.42,0.4,741.0
3,0.44,0.43,0.47,354.0
4,0.34,0.37,0.32,244.0
5,0.12,0.18,0.1,83.0
