class,f1_score,precision,recall,support
0,0.6,0.57,0.63,1318.0
1,0.45,0.39,0.53,937.0
2,0.42,0.55,0.34,780.0
3,0.43,0.43,0.43,340.0
4,0.3,0.46,0.22,235.0
5,0.04,0.06,0.03,67.0
