class,f1_score,precision,recall,support
0,0.48,0.59,0.4,1311.0
1,0.0,0.0,0.0,992.0
2,0.41,0.34,0.53,733.0
3,0.0,0.0,0.0,338.0
4,0.15,0.09,0.58,242.0
5,0.0,0.0,0.0,61.0
