class,f1_score,precision,recall,support
0,0.42,0.4,0.44,1303.0
1,0.0,0.0,0.0,933.0
2,0.37,0.27,0.61,797.0
3,0.0,0.0,0.0,334.0
4,0.19,0.16,0.22,246.0
5,0.05,0.04,0.06,64.0
