class,f1_score,precision,recall,support
0,0.62,0.66,0.59,1312.0
1,0.53,0.45,0.64,955.0
2,0.39,0.54,0.3,764.0
3,0.43,0.34,0.59,338.0
4,0.29,0.38,0.24,229.0
5,0.16,1.0,0.09,79.0
