class,f1_score,precision,recall,support
0,0.49,0.64,0.4,1311.0
1,0.32,0.35,0.29,956.0
2,0.36,0.32,0.41,752.0
3,0.34,0.32,0.36,344.0
4,0.16,0.11,0.25,254.0
5,0.09,0.06,0.17,60.0
