class,f1_score,precision,recall,support
0,0.48,0.64,0.39,1352.0
1,0.39,0.37,0.41,939.0
2,0.36,0.34,0.37,738.0
3,0.34,0.34,0.35,344.0
4,0.16,0.12,0.26,245.0
5,0.05,0.04,0.1,59.0
