class,f1_score,precision,recall,support
0,0.71,0.77,0.65,1289.0
1,0.48,0.38,0.66,943.0
2,0.39,0.42,0.36,788.0
3,0.34,0.53,0.25,345.0
4,0.08,0.17,0.05,237.0
5,0.05,0.05,0.04,75.0
