class,f1_score,precision,recall,support
0,0.69,0.79,0.61,1339.0
1,0.36,0.41,0.33,954.0
2,0.43,0.38,0.48,753.0
3,0.39,0.37,0.41,335.0
4,0.22,0.17,0.31,227.0
5,0.15,0.11,0.23,69.0
