class,f1_score,precision,recall,support
0,0.44,0.73,0.32,1291.0
1,0.29,0.4,0.23,959.0
2,0.37,0.42,0.34,743.0
3,0.33,0.27,0.44,352.0
4,0.23,0.14,0.59,258.0
5,0.1,0.06,0.26,74.0
