class,f1_score,precision,recall,support
0,0.29,0.43,0.22,1318.0
1,0.0,0.0,0.0,956.0
2,0.33,0.21,0.7,744.0
3,0.0,0.0,0.0,342.0
4,0.13,0.1,0.2,263.0
5,0.0,0.0,0.0,54.0
