class,f1_score,precision,recall,support
0,0.4,0.41,0.39,1370.0
1,0.25,0.37,0.19,907.0
2,0.38,0.4,0.36,745.0
3,0.26,0.49,0.17,334.0
4,0.15,0.11,0.27,237.0
5,0.05,0.03,0.19,84.0
