class,f1_score,precision,recall,support
0,0.61,0.56,0.66,1344.0
1,0.4,0.43,0.37,925.0
2,0.43,0.45,0.4,760.0
3,0.48,0.47,0.5,355.0
4,0.34,0.35,0.34,225.0
5,0.2,0.26,0.16,68.0
