class,f1_score,precision,recall,support
0,0.64,0.65,0.63,1342.0
1,0.51,0.44,0.62,940.0
2,0.45,0.57,0.37,744.0
3,0.48,0.48,0.47,353.0
4,0.41,0.47,0.36,225.0
5,0.09,0.15,0.07,73.0
