class,f1_score,precision,recall,support
0,0.64,0.72,0.58,1367.0
1,0.43,0.37,0.53,930.0
2,0.43,0.42,0.44,734.0
3,0.37,0.44,0.32,344.0
4,0.18,0.28,0.13,249.0
5,0.11,0.08,0.15,53.0
