class,f1_score,precision,recall,support
0,0.63,0.47,0.96,1352.0
1,0.43,0.55,0.36,939.0
2,0.36,0.61,0.26,738.0
3,0.14,0.87,0.08,344.0
4,0.0,0.0,0.0,245.0
5,0.0,0.0,0.0,59.0
