class,f1_score,precision,recall,support
0,0.66,0.56,0.82,1317.0
1,0.45,0.57,0.38,963.0
2,0.51,0.52,0.5,778.0
3,0.49,0.54,0.44,331.0
4,0.28,0.71,0.18,231.0
5,0.0,0.0,0.0,57.0
