class,f1_score,precision,recall,support
0,0.61,0.49,0.82,1343.0
1,0.38,0.42,0.34,917.0
2,0.38,0.49,0.31,776.0
3,0.35,0.56,0.26,337.0
4,0.15,0.95,0.08,241.0
5,0.0,0.0,0.0,63.0
