class,f1_score,precision,recall,support
0,0.35,0.74,0.23,1319.0
1,0.24,0.46,0.16,919.0
2,0.27,0.46,0.19,792.0
3,0.33,0.24,0.52,333.0
4,0.21,0.13,0.47,249.0
5,0.07,0.04,0.57,65.0
