class,f1_score,precision,recall,support
0,0.66,0.57,0.79,1352.0
1,0.45,0.55,0.39,944.0
2,0.48,0.54,0.43,722.0
3,0.49,0.49,0.5,342.0
4,0.43,0.49,0.37,255.0
5,0.1,0.19,0.06,62.0
