class,f1_score,precision,recall,support
0,0.71,0.72,0.7,1312.0
1,0.46,0.43,0.49,930.0
2,0.44,0.43,0.46,770.0
3,0.45,0.49,0.42,363.0
4,0.19,0.3,0.14,241.0
5,0.08,0.07,0.08,61.0
