class,f1_score,precision,recall,support
0,0.71,0.68,0.75,1289.0
1,0.41,0.73,0.29,943.0
2,0.49,0.61,0.41,788.0
3,0.45,0.33,0.68,345.0
4,0.35,0.25,0.6,237.0
5,0.19,0.19,0.2,75.0
