class,f1_score,precision,recall,support
0,0.27,0.7,0.17,1357.0
1,0.01,0.33,0.0,933.0
2,0.28,0.4,0.21,718.0
3,0.24,0.17,0.4,374.0
4,0.17,0.1,0.6,229.0
5,0.08,0.04,0.44,66.0
