class,f1_score,precision,recall,support
0,0.58,0.64,0.53,1348.0
1,0.47,0.39,0.59,907.0
2,0.43,0.5,0.37,741.0
3,0.43,0.41,0.46,354.0
4,0.33,0.38,0.29,244.0
5,0.08,0.1,0.07,83.0
