class,f1_score,precision,recall,support
0,0.61,0.62,0.61,1344.0
1,0.49,0.43,0.57,946.0
2,0.43,0.49,0.38,723.0
3,0.45,0.43,0.46,352.0
4,0.37,0.5,0.3,250.0
5,0.12,0.25,0.08,62.0
