class,f1_score,precision,recall,support
0,0.72,0.73,0.71,1272.0
1,0.54,0.48,0.62,968.0
2,0.49,0.47,0.5,790.0
3,0.54,0.57,0.52,343.0
4,0.09,0.92,0.05,251.0
5,0.04,1.0,0.02,53.0
