class,f1_score,precision,recall,support
0,0.66,0.54,0.86,1319.0
1,0.48,0.48,0.47,902.0
2,0.46,0.57,0.38,783.0
3,0.48,0.76,0.35,360.0
4,0.09,0.87,0.05,262.0
5,0.0,0.0,0.0,51.0
