class,f1_score,precision,recall,support
0,0.65,0.52,0.87,1312.0
1,0.49,0.53,0.45,955.0
2,0.46,0.58,0.38,764.0
3,0.39,0.63,0.28,338.0
4,0.13,0.73,0.07,229.0
5,0.02,1.0,0.01,79.0
