class,f1_score,precision,recall,support
0,0.56,0.39,0.99,1359.0
1,0.01,0.86,0.01,945.0
2,0.27,0.64,0.17,743.0
3,0.01,0.5,0.0,324.0
4,0.0,0.0,0.0,241.0
5,0.03,0.11,0.02,65.0
