class,f1_score,precision,recall,support
0,0.6,0.6,0.6,1314.0
1,0.02,0.29,0.01,952.0
2,0.4,0.33,0.52,768.0
3,0.37,0.31,0.44,335.0
4,0.2,0.16,0.29,246.0
5,0.06,0.04,0.11,62.0
