class,f1_score,precision,recall,support
0,0.7,0.71,0.69,1318.0
1,0.43,0.4,0.47,956.0
2,0.43,0.4,0.46,744.0
3,0.37,0.43,0.32,342.0
4,0.1,0.22,0.07,263.0
5,0.04,0.03,0.04,54.0
