class,f1_score,precision,recall,support
0,0.37,0.78,0.25,1352.0
1,0.03,0.54,0.02,913.0
2,0.37,0.36,0.39,766.0
3,0.23,0.14,0.56,334.0
4,0.22,0.14,0.44,251.0
5,0.09,0.06,0.28,61.0
