class,f1_score,precision,recall,support
0,0.4,0.67,0.29,1321.0
1,0.24,0.36,0.18,948.0
2,0.35,0.38,0.33,788.0
3,0.3,0.25,0.39,329.0
4,0.17,0.1,0.47,238.0
5,0.08,0.04,0.32,53.0
