class,f1_score,precision,recall,support
0,0.62,0.45,0.97,1348.0
1,0.15,0.72,0.09,894.0
2,0.46,0.54,0.4,758.0
3,0.3,0.85,0.18,378.0
4,0.14,0.95,0.08,236.0
5,0.22,0.89,0.13,63.0
