class,f1_score,precision,recall,support
0,0.71,0.78,0.65,1367.0
1,0.54,0.45,0.68,930.0
2,0.49,0.45,0.54,734.0
3,0.5,0.6,0.42,344.0
4,0.1,1.0,0.05,249.0
5,0.0,0.0,0.0,53.0
