class,f1_score,precision,recall,support
0,0.54,0.37,0.98,1305.0
1,0.02,0.64,0.01,931.0
2,0.3,0.67,0.2,745.0
3,0.03,0.62,0.01,353.0
4,0.0,0.0,0.0,276.0
5,0.0,0.0,0.0,67.0
