class,f1_score,precision,recall,support
0,0.66,0.59,0.74,1380.0
1,0.48,0.52,0.44,932.0
2,0.47,0.56,0.41,738.0
3,0.5,0.47,0.53,329.0
4,0.44,0.47,0.42,238.0
5,0.13,0.2,0.1,60.0
