class,f1_score,precision,recall,support
0,0.48,0.72,0.36,1360.0
1,0.35,0.41,0.3,956.0
2,0.41,0.43,0.39,748.0
3,0.33,0.27,0.41,334.0
4,0.21,0.14,0.49,228.0
5,0.09,0.06,0.29,51.0
