class,f1_score,precision,recall,support
0,0.57,0.65,0.51,1333.0
1,0.49,0.41,0.6,948.0
2,0.43,0.5,0.37,747.0
3,0.47,0.43,0.51,336.0
4,0.37,0.4,0.34,243.0
5,0.11,0.1,0.11,70.0
