class,f1_score,precision,recall,support
0,0.44,0.58,0.35,1274.0
1,0.01,0.6,0.01,968.0
2,0.3,0.41,0.24,770.0
3,0.22,0.14,0.53,347.0
4,0.21,0.13,0.44,251.0
5,0.06,0.04,0.16,67.0
