class,f1_score,precision,recall,support
0,0.4,0.66,0.28,1327.0
1,0.31,0.47,0.23,937.0
2,0.29,0.46,0.21,774.0
3,0.31,0.25,0.41,325.0
4,0.22,0.14,0.54,252.0
5,0.06,0.03,0.4,62.0
