class,f1_score,precision,recall,support
0,0.01,1.0,0.01,1365.0
1,0.36,0.23,0.75,894.0
2,0.0,0.0,0.0,749.0
3,0.0,0.0,0.0,339.0
4,0.11,0.08,0.22,266.0
5,0.0,0.0,0.0,64.0
