class,f1_score,precision,recall,support
0,0.59,0.59,0.59,1306.0
1,0.46,0.39,0.54,949.0
2,0.45,0.55,0.39,775.0
3,0.43,0.4,0.45,341.0
4,0.31,0.55,0.22,248.0
5,0.1,0.17,0.07,58.0
