class,f1_score,precision,recall,support
0,0.71,0.64,0.78,1286.0
1,0.54,0.52,0.56,981.0
2,0.48,0.47,0.48,739.0
3,0.49,0.7,0.38,365.0
4,0.32,0.64,0.21,249.0
5,0.25,0.6,0.16,57.0
