class,f1_score,precision,recall,support
0,0.71,0.76,0.66,1307.0
1,0.5,0.42,0.63,942.0
2,0.44,0.46,0.43,770.0
3,0.42,0.56,0.33,331.0
4,0.22,0.38,0.16,263.0
5,0.08,0.07,0.08,64.0
