class,f1_score,precision,recall,support
0,0.55,0.66,0.47,1333.0
1,0.4,0.42,0.39,955.0
2,0.4,0.38,0.41,727.0
3,0.34,0.33,0.36,347.0
4,0.21,0.16,0.32,254.0
5,0.1,0.07,0.18,61.0
