class,f1_score,precision,recall,support
0,0.47,0.4,0.56,1320.0
1,0.2,0.27,0.16,927.0
2,0.25,0.42,0.17,781.0
3,0.11,0.63,0.06,349.0
4,0.11,0.07,0.27,238.0
5,0.0,0.0,0.0,62.0
