class,f1_score,precision,recall,support
0,0.63,0.48,0.93,1342.0
1,0.31,0.68,0.2,960.0
2,0.39,0.7,0.27,758.0
3,0.48,0.46,0.51,327.0
4,0.37,0.57,0.27,216.0
5,0.2,1.0,0.11,74.0
