class,f1_score,precision,recall,support
0,0.61,0.53,0.72,1324.0
1,0.38,0.42,0.34,928.0
2,0.42,0.46,0.39,761.0
3,0.39,0.4,0.38,341.0
4,0.26,0.35,0.21,256.0
5,0.13,0.42,0.07,67.0
