class,f1_score,precision,recall,support
0,0.68,0.73,0.64,1309.0
1,0.49,0.39,0.66,961.0
2,0.37,0.42,0.34,739.0
3,0.25,0.51,0.17,346.0
4,0.17,0.28,0.12,247.0
5,0.11,0.1,0.12,75.0
