class,f1_score,precision,recall,support
0,0.61,0.56,0.66,1333.0
1,0.49,0.39,0.64,942.0
2,0.28,0.65,0.18,759.0
3,0.39,0.4,0.38,327.0
4,0.18,0.69,0.1,267.0
5,0.12,0.27,0.08,49.0
