class,f1_score,precision,recall,support
0,0.67,0.54,0.88,1355.0
1,0.46,0.5,0.43,939.0
2,0.45,0.57,0.38,773.0
3,0.43,0.63,0.33,316.0
4,0.15,0.86,0.08,233.0
5,0.0,0.0,0.0,61.0
