class,f1_score,precision,recall,support
0,0.64,0.48,0.95,1311.0
1,0.44,0.57,0.36,956.0
2,0.43,0.61,0.34,752.0
3,0.21,0.89,0.12,344.0
4,0.0,0.0,0.0,254.0
5,0.0,0.0,0.0,60.0
