class,f1_score,precision,recall,support
0,0.56,0.39,0.99,1363.0
1,0.02,0.73,0.01,889.0
2,0.28,0.66,0.18,755.0
3,0.08,0.88,0.04,347.0
4,0.01,1.0,0.0,255.0
5,0.0,0.0,0.0,68.0
