class,f1_score,precision,recall,support
0,0.53,0.65,0.45,1298.0
1,0.43,0.44,0.43,969.0
2,0.42,0.41,0.43,756.0
3,0.32,0.31,0.34,330.0
4,0.21,0.15,0.31,257.0
5,0.07,0.05,0.12,67.0
