class,f1_score,precision,recall,support
0,0.4,0.66,0.29,1319.0
1,0.31,0.37,0.27,902.0
2,0.35,0.42,0.3,783.0
3,0.31,0.26,0.39,360.0
4,0.19,0.12,0.48,262.0
5,0.07,0.04,0.25,51.0
