class,f1_score,precision,recall,support
0,0.61,0.6,0.62,1318.0
1,0.45,0.4,0.53,955.0
2,0.44,0.55,0.36,780.0
3,0.41,0.37,0.45,341.0
4,0.29,0.47,0.21,234.0
5,0.09,0.11,0.08,49.0
