class,f1_score,precision,recall,support
0,0.64,0.65,0.63,1292.0
1,0.46,0.47,0.45,977.0
2,0.47,0.46,0.47,752.0
3,0.48,0.43,0.55,355.0
4,0.39,0.39,0.38,230.0
5,0.23,0.3,0.18,71.0
