class,f1_score,precision,recall,support
0,0.04,0.87,0.02,1318.0
1,0.0,0.0,0.0,935.0
2,0.01,0.57,0.01,794.0
3,0.16,0.09,0.77,333.0
4,0.1,0.07,0.2,241.0
5,0.01,0.01,0.02,56.0
