class,f1_score,precision,recall,support
0,0.42,0.73,0.29,1345.0
1,0.27,0.45,0.2,928.0
2,0.32,0.48,0.24,750.0
3,0.33,0.28,0.39,335.0
4,0.19,0.12,0.46,258.0
5,0.06,0.03,0.49,61.0
